customerid,gender,age,annual_income_(k$),spending_score_(1-100)
1,male,33,73,46
2,female,62,132,24
3,male,35,110,32
4,male,64,127,47
5,male,41,76,86
6,female,44,66,23
7,male,42,26,66
8,male,62,53,27
9,male,58,144,2
10,female,46,145,90
11,male,32,127,17
12,male,62,115,33
13,male,18,127,9
14,male,44,95,43
15,female,44,127,48
16,female,26,16,39
17,female,41,144,93
18,female,18,68,42
19,female,61,101,26
20,male,25,143,99
21,female,41,140,50
22,male,28,144,25
23,female,68,67,24
24,unknown,34,82,13
25,female,25,137,60
26,female,52,52,7
27,female,52,38,57
28,female,50,83,36
29,female,22,130,45
30,female,59,112,20
31,male,44,111,65
32,male,58,138,8
33,female,45,84,16
34,unknown,24,107,14
35,female,26,17,76
36,male,25,104,87
37,female,29,110,15
38,male,51,66,92
39,male,50,142,98
40,male,65,53,66
41,male,40,96,32
42,male,44,118,87
43,female,54,143,63
44,female,52,25,86
45,female,61,56,51
46,female,57,113,25
47,unknown,39,21,58
48,male,44,104,63
49,female,52,126,62
50,female,18,74,22
51,unknown,52,127,58
52,female,54,16,58
53,male,64,143,86
54,female,31,62,49
55,unknown,20,51,52
56,female,18,23,42
57,female,22,113,70
58,male,43,62,15
59,unknown,31,145,54
60,male,56,68,60
61,male,44,134,97
62,male,26,130,8
63,male,32,89,53
64,male,32,127,60
65,male,43,118,5
66,female,44,98,68
67,female,30,126,6
68,male,44,113,96
69,female,49,107,94
70,female,56,142,47
71,female,66,124,99
72,female,69,96,55
73,male,49,68,40
74,female,21,82,52
75,male,47,47,16
76,female,54,35,13
77,female,40,62,30
78,female,56,142,19
79,male,62,149,17
80,female,32,142,63
81,male,60,47,19
82,female,46,129,92
83,male,53,133,58
84,female,30,36,55
85,male,49,52,90
86,male,24,123,90
87,female,68,65,62
88,male,39,22,23
89,female,45,41,9
90,female,19,41,12
91,female,59,35,1
92,unknown,62,44,58
93,female,23,111,1
94,female,45,42,34
95,female,45,125,96
96,female,61,75,48
97,unknown,61,62,89
98,female,44,18,1
99,female,47,49,16
100,male,28,63,61
101,male,45,31,64
102,female,42,60,63
103,female,56,131,69
104,female,50,20,22
105,female,18,113,93
106,female,44,138,67
107,female,69,51,76
108,female,30,38,26
109,female,58,107,16
110,male,20,60,51
111,female,56,109,86
112,male,23,113,57
113,female,25,130,29
114,female,44,81,78
115,male,26,142,92
116,female,54,32,69
117,male,50,39,47
118,female,68,68,94
119,female,59,72,62
120,male,61,81,69
