CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,MALE ,33.0,73,46
2, female,62.0,132,24
3,Male,35.0,110,32
4, male ,64.0,127,47
5,MALE ,41.0,76,86
6, female,,66,23
7,Male,42.0,26,66
8,Male,62.0,53,27
9,MALE ,58.0,144,2
10,Female,46.0,145,90
11,MALE ,32.0,127,17
12,MALE ,62.0,115,33
13,MALE ,18.0,127,9
14,MALE ,,95,43
15, female,,127,48
16,FEMALE,26.0,16,39
17, female,41.0,144,93
18, female,18.0,68,42
19, female,61.0,101,26
20,MALE ,25.0,143,99
21,Female,41.0,140,50
22,Male,28.0,144,25
23,Female,68.0,67,24
24,,34.0,82,13
25, female,25.0,137,60
26,Female,52.0,52,7
27,Female,52.0,38,57
28,Female,50.0,83,36
29, female,22.0,130,45
30, female,59.0,112,20
31,Male,,111,65
32,Male,58.0,138,8
33, female,45.0,84,16
34,,24.0,107,14
35,Female,26.0,17,76
36,Male,25.0,104,87
37, female,29.0,110,15
38,Male,51.0,66,92
39,Male,50.0,142,98
40,MALE ,65.0,53,66
41,MALE ,40.0,96,32
42,MALE ,,118,87
43,Female,54.0,143,63
44, female,52.0,25,86
45, female,61.0,56,51
46, female,57.0,113,25
47,,39.0,21,58
48,MALE ,44.0,104,63
49,Female,52.0,126,62
50,Female,18.0,74,22
51,,52.0,127,58
52,Female,54.0,16,58
53,MALE ,64.0,143,86
54, female,31.0,62,49
55,,20.0,51,52
56, female,18.0,23,42
57, female,22.0,113,70
58,Male,43.0,62,15
59,,31.0,145,54
60,Male,56.0,68,60
61,MALE ,44.0,134,97
62,MALE ,26.0,130,8
63,Male,32.0,89,53
64,Male,32.0,127,60
65,MALE ,43.0,118,5
66,Female,,98,68
67, female,30.0,126,6
68,Male,,113,96
69, female,49.0,107,94
70,Female,56.0,142,47
71,Female,66.0,124,99
72,Female,69.0,96,55
73,Male,49.0,68,40
74,Female,21.0,82,52
75,Male,47.0,47,16
76,Female,54.0,35,13
77, female,40.0,62,30
78, female,56.0,142,19
79,MALE ,62.0,149,17
80, female,32.0,142,63
81,MALE ,60.0,47,19
82, female,46.0,129,92
83,Male,53.0,133,58
84, female,30.0,36,55
85,MALE ,49.0,52,90
86,MALE ,24.0,123,90
87,Female,68.0,65,62
88,Male,39.0,22,23
89, female,45.0,41,9
90,Female,19.0,41,12
91, female,59.0,35,1
92,,62.0,44,58
93,Female,23.0,111,1
94,Female,45.0,42,34
95,Female,45.0,125,96
96,Female,61.0,75,48
97,,61.0,62,89
98, female,,18,1
99,Female,47.0,49,16
100,Male,28.0,63,61
101,MALE ,45.0,31,64
102,Female,42.0,60,63
103,Female,56.0,131,69
104, female,50.0,20,22
105,Female,18.0,113,93
106,Female,44.0,138,67
107,Female,69.0,51,76
108, female,30.0,38,26
109,Female,58.0,107,16
110,MALE ,20.0,60,51
111, female,56.0,109,86
112,MALE ,23.0,113,57
113, female,25.0,130,29
114,Female,44.0,81,78
115,MALE ,26.0,142,92
116, female,54.0,32,69
117,Male,50.0,39,47
118,Female,68.0,68,94
119, female,59.0,72,62
120,Male,61.0,81,69
6, female,,66,23
7,Male,42.0,26,66
8,Male,62.0,53,27
9,MALE ,58.0,144,2
10,Female,46.0,145,90
